840 565  540 254413433175 7 73150121111111111111111111443342232221222223433222222222112211121112222223333333333222 50436282998998  24.339609 6328.2982861.069767  22.752243149    15.146561    15.229491     9.881652     9.483902311245.416675.0 1 34PUB05OCT2012
840 566  587 252411443180 6253999121111112121111111112444444444444422225423222222222112411111111432223333333333233 50110282998998  21.489024 5157.3657821.069767  20.087566150    13.535631    12.675271     9.141663     9.483902391155.000005.0 1 15PUB05OCT2012
840 567  790 38731955999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 50433282998998  18.301394 5600.2266211.069767  17.107825050999999.000009999999.000009999999.000009999999.000009399999.000009.0 2984PUB05OCT2012
840 568  942 285411333180 7 01 80213222422244212244214444443443444322211222222212232111212111211442223333333333222 50124282998998  22.432116 5652.8932551.069767  20.969152051     9.099462     9.226052    12.687052     9.483902321260.000006.0 1 24PUB05OCT2012
840 569  439 156411543180 6353120114423234332343332342444444343443211114433222122222911212111211112223333333323232 50115282998998  41.125547 6333.3342201.069767  38.443446151     8.608732     8.253832    11.374092     9.688332311185.000005.0 1 24PUB05OCT2012
840 570  215  47421653180 5203 80221111111111111111113444422232231121223423222111122111112121212112223333332222222 50004282998998 155.561850 6222.4740021.069767 145.416512152    12.772281    15.229491    10.642012    10.78319231 960.000005.0 1 11PUB05OCT2012
840 571  382  27411553180 6223 35122221391212211443223444442432332432233333222222222113311121112112223332333222223 50268282998998 188.311714 4519.4811291.069767 176.030515052     9.399712    10.536702     9.141663     9.483902311146.000005.0 1 14PUB05OCT2012
840 572  600  60421643175 7 03 25111111111111111111111444444444444411111111111121121111111121112112223333333333333 50448282998998 121.285511 3638.5653181.069767 113.375586053    15.146561    15.229491    15.568921    12.083621311225.000005.0 1 15PUB05OCT2012
840 573  251  84411643178 6323 85121111111222111222122444443343424111112322111111111112211111211112223333333333233 50111282998998  88.343767 7420.8764301.069767  82.582217153    11.561581    12.140351    13.350791    13.963371311162.933335.0 1 14PUB05OCT2012
840 574  297 107411543180 6303 90223322211222221222214444422242233321112222222222222111211111111112223233222322232 50050282998998  63.326063 7599.1275131.069767  59.196102054     9.941222    10.033712    13.350791     9.483902311170.000005.0 1 34PUB05OCT2012
